und_umls_cuii,ind_umls_pt,ind_umls_sem_typ1
C0003811,Cardiac Arrhythmia,Pathologic Function
C0003873,Rheumatoid Arthritis,Disease or Syndrome
C0015674,Chronic Fatigue Syndrome,Disease or Syndrome
C0020473,Hyperlipidemia,Disease or Syndrome
C0020538,Hypertensive Disease,Disease or Syndrome
C0549625,Clotting Decreased,Finding
C0018939,Hematological Disease,Disease or Syndrome
C0019080,Hemorrhage,Pathologic Function
C1721086,Surgical Fixation Devices,Medical Device
C0010957,Tissue Damage,Injury or Poisoning
C0277344,Infestation By Insect,Disease or Syndrome
C0597202,Pesticide Interaction,Molecular Function
C0010164,Cosmetics,Manufactured Object
C0040435,Tooth Diseases,Disease or Syndrome
C0699771,Flavor Perception,Organ or Tissue Function
C0016453,Food Additives,Food
C1154613,Sweet Taste Perception,Organism Function
C0032343,Poisoning,Injury or Poisoning
C0006826,Malignant Neoplasms,Neoplastic Process
C0599059,Free Radical Oxidation Of Tissue,Cell or Molecular Dysfunction
C0007222,Cardiovascular Diseases,Disease or Syndrome
C0678771,Protective Drug Effect,Biologic Function
C0010360,Cross-Linking Reagents,Indicator; Reagent; or Diagnostic Aid
C0021213,Indicators And Reagents,Indicator; Reagent; or Diagnostic Aid
C0597263,Pollutant Interaction,Molecular Function
C0009951,Convulsions,Sign or Symptom
C0007682,Cns Disorder,Disease or Syndrome
C0234107,Excitatory Synaptic Transmission,Organ or Tissue Function
C0027793,Synaptic Transmission,Cell Function
C0021311,Infection,Disease or Syndrome
C0042769,Virus Diseases,Disease or Syndrome
C0014432,Enzyme Inhibitors,Pharmacologic Substance
C1148776,Estrogen Receptor Activity,Molecular Function
C1149475,Hormone Activity,Molecular Function
C2263455,Protease Activity,Molecular Function
C0031000,Perfume,Manufactured Object
C1150124,Cysteine Protease Activity,Molecular Function
C1158468,Nitric Oxide Metabolic Process,Molecular Function
C0042401,Vasodilation,Physiologic Function
C1517315,Free Radical Scavenging [Moa],Molecular Function
C1566391,Coloring Agents,Indicator; Reagent; or Diagnostic Aid
C0016320,Fluorescent Dyes,Indicator; Reagent; or Diagnostic Aid
C1450139,Luminescent Agents,Indicator; Reagent; or Diagnostic Aid
C1151471,Nitric Oxide Synthase Activity,Molecular Function
C0001730,Affinity Labels,Indicator; Reagent; or Diagnostic Aid
C0004623,Bacterial Infections,Disease or Syndrome
C0030971,Perception,Mental Process
C0004936,Mental Disorders,Mental or Behavioral Dysfunction
C1152740,5-Ht Receptor Activity,Molecular Function
C1152761,G-Protein Coupled Adenosine Receptor Activity,Molecular Function
C3178749,Purinergic Effect,Physiologic Function
C3159308,Purinergic Receptor Activity,Molecular Function
C0020443,Hypercholesterolemia,Disease or Syndrome
C0025519,Metabolism,Organism Function
C0030499,Parasitic Diseases,Disease or Syndrome
C0033740,Protozoan Infections,Disease or Syndrome
C0598783,Lipid Metabolism,Molecular Function
C0598958,Neuroprotective Effect,Cell Function
C0480774,Poisoning By And Exposure To Noxious Substances; Undetermined Intent,Injury or Poisoning
C0030011,Oxidation,Molecular Function
C0596263,Carcinogenesis,Neoplastic Process
C0279165,Radioactive Agent,Pharmacologic Substance
C0151763,Liver Damage,Pathologic Function
C0042382,Vascularization,Functional Concept
C0037274,Dermatologic Disorders,Disease or Syndrome
C0018270,Growth,Organism Function
C3179153,Photosensitizing Effect,Physiologic Function
C3179280,Radiation-Sensitizing Effect,Physiologic Function
C1753334,Phosphodiesterase Activity,Molecular Function
C0597252,Plant Development,Organism Function
C0035435,Rheumatism,Disease or Syndrome
C1152747,Cannabinoid Receptor Activity,Molecular Function
C0518003,Autonomic Function,Finding
C0234097,Cholinergic Synaptic Transmission,Organ or Tissue Function
C0017078,Ganglionic Stimulants,Pharmacologic Substance
C1148665,Nicotinic Acetylcholine-Activated Cation-Selective Channel Activity,Molecular Function
C0683211,Pns Function,Organ or Tissue Function
C1527304,Allergic Reaction,Pathologic Function
C0026946,Mycoses,Disease or Syndrome
C0007974,Chelating Agents,Pharmacologic Substance
C0598962,Neurotransmitter Uptake,Cell Function
C2757050,Iron Chelating Activity [Moa],Molecular Function
C1152762,A1 Adenosine Receptor Activity; G-Protein Coupled,Molecular Function
C0003467,Anxiety,Mental Process
C1152799,Glutamate Receptor Activity,Molecular Function
C0151559,Central Nervous System Depression (Disorder),Disease or Syndrome
C3179402,Tranquilizing Effect,Physiologic Function
C0079866,Mutagenesis Process,Molecular Function
C0032176,Platelet Aggregation,Cell Function
C3179279,Radiation-Protective Effect,Physiologic Function
C0021717,Intercalating Agents,Indicator; Reagent; or Diagnostic Aid
C0282597,Spectrometry; Mass; Matrix-Assisted Laser Desorption-Ionization,Laboratory Procedure
C0011740,Detergents,Chemical Viewed Functionally
C0038888,Surface-Active Agents,Biomedical or Dental Material
C0008583,Chromogenic Compounds,Indicator; Reagent; or Diagnostic Aid
C2917138,Central Nervous System Stimulation [Pe],Organ or Tissue Function
C3179492,Convulsant Effect,Physiologic Function
C0024530,Malaria,Disease or Syndrome
C0041582,Ulcer,Pathologic Function
C0017178,Gastrointestinal Diseases,Disease or Syndrome
C0030193,Pain,Sign or Symptom
C0021368,Inflammation,Pathologic Function
C0012797,Diuresis,Organ or Tissue Function
C0027477,Natriuresis,Organ or Tissue Function
C0152027,Sensory Disorders,Disease or Syndrome
C0020964,Immunity,Physiologic Function
C0301872,Immune Response,Organ or Tissue Function
C0019693,Hiv Infections,Disease or Syndrome
C0035369,Retroviridae Infections,Disease or Syndrome
C2254641,Steroid 5-Alpha Reductase Activity,Molecular Function
C0234101,Dopaminergic Synaptic Transmission,Organ or Tissue Function
C1152730,Dopamine Receptor Activity,Molecular Function
C0009924,Contrast Media,Indicator; Reagent; or Diagnostic Aid
C0038738,Sulfhydryl Reagents,Pharmacologic Substance
C0877035,Estrogen Effect,Finding
C0020965,Active Immunity,Organ or Tissue Function
C0018799,Heart Diseases,Disease or Syndrome
C0234098,Adrenergic Synaptic Transmission,Organ or Tissue Function
C0544651,Alpha-Adrenergic Receptor Function,Organ or Tissue Function
C0333565,Fibrin Deposition,Pathologic Function
C0016017,Fibrinolysis,Physiologic Function
C1816494,Synaptic Transmission; Gabaergic,Cell Function
C1150239,Serine Protease Activity,Molecular Function
C1150284,Trypsin Activity,Molecular Function
C3163616,Blood Loss,Finding
C0040434,Tooth Discoloration,Finding
C0042396,Vascular Constriction (Function),Organ or Tissue Function
C0018889,Helminthiasis,Disease or Syndrome
C0027583,Nematode Infections,Disease or Syndrome
C1151830,Primary Amine Oxidase Activity,Molecular Function
C0573830,Folic Acid Overdose,Injury or Poisoning
C1148664,Muscarinic Acetylcholine Receptor Activity,Molecular Function
C3179241,Parasympatholytic Effect,Physiologic Function
C0034760,Reagents,Indicator; Reagent; or Diagnostic Aid
C2261757,Riboflavin Synthetase Activity,Molecular Function
C0011202,Delayed-Action Preparations,Pharmacologic Substance
C1150527,Protein Kinase Activity,Molecular Function
C1151586,Lipoxygenase Activity,Molecular Function
C0002895,Anemia; Sickle Cell,Disease or Syndrome
C0005479,Biomaterials,Biomedical or Dental Material
