und_umls_cuii,umls_cui
C0003811,C0016157
C0003873,C0016157
C0015674,C0016157
C0020473,C0016157
C0020538,C0016157
C0549625,C0016004
C0018939,C0016004
C0019080,C0016004
C1721086,C0016004
C0010957,C0016004
C0277344,C0021579
C0597202,C0392143
C0010164,C2974024
C0040435,C2974024
C0699771,C0376597
C0016453,C0376597
C1154613,C0376597
C0032343,C0076425
C0006826,C0076425
C0599059,C0076425
C0007222,C0076425
C0678771,C0076425
C0010360,C0044034
C0021213,C0044034
C0006826,C0044401
C0597263,C0045334
C0021213,C0045407
C0009951,C0045412
C0007682,C0045412
C0234107,C0045412
C0234107,C0045412
C0027793,C0045412
C0009951,C0045845
C0007682,C0045845
C0234107,C0045845
C0234107,C0045845
C0027793,C0045845
C0234107,C0664038
C0234107,C0664038
C0027793,C0664038
C0021311,C0045176
C0006826,C0045176
C0042769,C0045176
C0014432,C0045176
C0014432,C0046431
C0021213,C0046431
C1148776,C0046929
C1148776,C0046929
C1149475,C0046929
C1149475,C0046929
C0014432,C0048233
C2263455,C0048233
C0021311,C0048983
C0042769,C0048983
C0006826,C0049238
C0014432,C0049640
C0010164,C0377472
C0031000,C0377472
C1150124,C0081446
C0014432,C0081446
C2263455,C0081446
C0010360,C0053698
C0021213,C0053698
C0020538,C0813211
C0007222,C0813211
C0599059,C0072781
C0678771,C0072781
C0007222,C0073894
C0014432,C0073894
C1158468,C0073894
C0042401,C0073894
C0599059,C0044232
C1517315,C0044232
C0678771,C0044232
C1566391,C0044291
C0016320,C0044291
C0021213,C0044291
C1450139,C0044291
C1151471,C1528245
C0001730,C0534468
C0021213,C0534468
C0004623,C2933174
C0007682,C0045561
C0030971,C0045561
C0027793,C0045561
C0004936,C0045561
C1152740,C0045561
C1152740,C0045561
C1566391,C0046893
C0016320,C0046893
C0021213,C0046893
C1450139,C0046893
C0001730,C0046899
C1566391,C0046899
C0016320,C0046899
C0021213,C0046899
C1450139,C0046899
C1152761,C0165153
C0027793,C0165153
C3178749,C0165153
C3159308,C0165153
C3159308,C0165153
C0020443,C0048058
C0021311,C0048058
C0025519,C0048058
C0030499,C0048058
C0033740,C0048058
C0020473,C0048058
C0598783,C0048058
C0007682,C0210574
C0598958,C0210574
C0678771,C0210574
C0480774,C0048362
C0030011,C0048362
C1566391,C0048514
C0016320,C0048514
C0021213,C0048514
C1450139,C0048514
C0007682,C3501088
C0598958,C3501088
C0678771,C3501088
C0596263,C0000677
C0480774,C0000677
C0014432,C0051825
C1150124,C0666879
C0014432,C0666879
C2263455,C0666879
C0010360,C0058216
C0021213,C0058216
C0279165,C2959379
C0151763,C1871591
C0596263,C0066293
C0480774,C0066293
C0599059,C0067309
C0678771,C0067309
C0596263,C0068183
C0480774,C0068183
C0042382,C0076211
C0042382,C0076211
C0021311,C0076211
C0006826,C0076211
C0037274,C0076211
C0014432,C0076211
C0018270,C0076211
C0018270,C0076211
C3179153,C0076211
C3179280,C0076211
C0021311,C0146692
C0006826,C0146692
C0599059,C0146692
C0042769,C0146692
C0014432,C0146692
C1753334,C0146692
C0678771,C0146692
C0234107,C0043629
C0234107,C0043629
C0027793,C0043629
C0021213,C0044638
C1450139,C0044638
C0007682,C0044270
C0598958,C0044270
C0678771,C0044270
C0597252,C0000215
C0597202,C0000215
C0234107,C0045829
C0234107,C0045829
C0027793,C0045829
C0009951,C0045862
C0007682,C0045862
C0234107,C0045862
C0234107,C0045862
C0027793,C0045862
C0006826,C0653231
C1566391,C0995156
C0016320,C0995156
C0021213,C0995156
C1450139,C0995156
C0006826,C0094556
C0014432,C0094556
C1753334,C0047591
C0035435,C0096557
C0006826,C1722937
C0006826,C0050789
C0007222,C0050789
C0042401,C0050789
C1152747,C3254041
C1152747,C3254041
C1149475,C3254041
C1149475,C3254041
C0027793,C3254041
C0006826,C0053370
C0006826,C0053370
C0596263,C0054285
C0480774,C0054285
C0518003,C0012847
C0234097,C0012847
C0234097,C0012847
C0017078,C0012847
C0027793,C0012847
C1148665,C0012847
C0683211,C0012847
C1527304,C0047822
C0010360,C0058494
C0021213,C0058494
C0020538,C0067118
C0006826,C0067118
C0007222,C0067118
C3179280,C0067118
C0026946,C0067483
C0597202,C0067483
C1150124,C0130753
C0014432,C0130753
C2263455,C0130753
C0007974,C0067834
C0596263,C0067957
C0480774,C0067957
C0027793,C0247402
C0598962,C0247402
C0007974,C0088045
C2757050,C0088045
C1152762,C0088321
C0027793,C0088321
C3178749,C0088321
C3159308,C0088321
C3159308,C0088321
C0234107,C0381784
C0234107,C0381784
C0027793,C0381784
C0003467,C0909109
C1152799,C0909109
C1566391,C0046900
C0016320,C0046900
C0021213,C0046900
C1450139,C0046900
C0021311,C0048815
C0042769,C0048815
C0003467,C0909108
C0007682,C0909108
C0151559,C0909108
C0234107,C0909108
C0234107,C0909108
C0027793,C0909108
C0004936,C0909108
C3179402,C0909108
C0003811,C0049648
C0599059,C0049648
C0007222,C0049648
C0007682,C0049648
C0018939,C0049648
C0079866,C0049648
C0480774,C0049648
C0032176,C0049648
C0678771,C0049648
C0004936,C0049648
C3179279,C0049648
C0027793,C0050068
C3178749,C0050068
C3159308,C0050068
C3159308,C0050068
C1566391,C0050195
C0016320,C0050195
C0021213,C0050195
C0021717,C0050195
C1450139,C0050195
C0282597,C0102508
C0007222,C0254718
C1158468,C0254718
C0021213,C0296679
C0011740,C0068248
C0038888,C0068248
C0008583,C0075451
C1566391,C0075451
C0021213,C0075451
C0007682,C0076147
C2917138,C0076147
C3179492,C0076147
C0008583,C0148143
C1566391,C0148143
C0021213,C0148143
C0021213,C0044226
C0014432,C0043858
C0021213,C0043858
C2263455,C0043858
C0009951,C0218405
C0007682,C0218405
C0596263,C0045287
C0480774,C0045287
C0006826,C0093504
C0596263,C0093504
C0079866,C0093504
C0480774,C0093504
C0014432,C0046874
C0021311,C0048806
C0024530,C0048806
C0006826,C0048806
C0030499,C0048806
C0033740,C0048806
C0030971,C0615748
C0599059,C1432926
C0234107,C0213389
C0234107,C0213389
C0027793,C0213389
C0041582,C0051414
C0017178,C0051414
C0041582,C0051414
C0017178,C0051414
C0011740,C0058642
C0038888,C0058642
C0001730,C0063196
C0010360,C0063196
C0021213,C0063196
C0014432,C0536663
C0021213,C0067419
C0007222,C0067427
C0007682,C0067427
C0598958,C0067427
C0678771,C0067427
C0042401,C0067427
C0042382,C0081489
C0042382,C0081489
C0006826,C0081489
C0006826,C0081489
C0018270,C0081489
C0018270,C0081489
C0030193,C0092581
C0030193,C0092581
C0021368,C0092581
C0021368,C0092581
C0035435,C0092581
C0012797,C0092581
C0027477,C0092581
C0683211,C0092581
C0152027,C0092581
C0027793,C0051076
C1566391,C0108443
C0016320,C0108443
C0021213,C0108443
C1450139,C0108443
C0020964,C0064543
C0301872,C0064543
C0021311,C0208248
C0024530,C0208248
C0030499,C0208248
C0033740,C0208248
C0014432,C0536682
C0019693,C0131126
C0021311,C0131126
C0035369,C0131126
C0042769,C0131126
C0007974,C0068087
C2757050,C0068087
C0027793,C0044180
C1152740,C0044180
C1152740,C0044180
C0007682,C0044279
C0598958,C0044279
C0678771,C0044279
C0006826,C0045368
C1566391,C0046901
C0016320,C0046901
C0021213,C0046901
C1450139,C0046901
C2254641,C0291374
C0014432,C0291374
C0001730,C0676471
C0021213,C0676471
C0234101,C0049894
C1152730,C0049894
C0027793,C0049894
C1566391,C0054393
C0009924,C0054393
C0016320,C0054393
C0021213,C0054393
C1450139,C0054393
C0014432,C0259423
C2263455,C0259423
C0027793,C0756237
C1152740,C0756237
C1152740,C0756237
C0006826,C0061708
C0018939,C0061708
C0032176,C0061708
C0021213,C0668026
C0038738,C0668026
C0234101,C0753884
C1152730,C0753884
C0027793,C0753884
C0079866,C0044093
C0480774,C0044093
C0027793,C0043960
C3178749,C0043960
C3159308,C0043960
C3159308,C0043960
C0599059,C0045280
C0678771,C0045280
C0877035,C0045341
C0877035,C0045341
C1149475,C0045341
C1149475,C0045341
C0877035,C0045341
C0020965,C0047115
C0007222,C0047115
C0020964,C0047115
C0234097,C0258258
C0234097,C0258258
C0027793,C0258258
C1148665,C0258258
C1566391,C0048528
C0016320,C0048528
C0021213,C0048528
C1450139,C0048528
C0018799,C0098037
C0007222,C0098037
C0678771,C0098037
C0021311,C0049104
C0021311,C0049104
C1566391,C0049643
C0016320,C0049643
C0021213,C0049643
C1450139,C0049643
C0599059,C1451927
C0234098,C0099550
C0544651,C0099550
C0234098,C0099550
C0027793,C0099550
C0027793,C0050079
C1152740,C0050079
C1152740,C0050079
C0007222,C0101197
C0333565,C0101197
C0016017,C0101197
C0018939,C0101197
C0032176,C0101197
C0030193,C0949300
C0007682,C0949300
C0683211,C0949300
C0152027,C0949300
C0596263,C0067578
C0480774,C0067578
C0007682,C0212361
C1816494,C0212361
C1816494,C0212361
C0598958,C0212361
C0027793,C0212361
C0678771,C0212361
C0012797,C0166128
C0027477,C0166128
C0234101,C0044430
C1152730,C0044430
C0027793,C0044430
C0596263,C0045826
C0079866,C0045826
C0480774,C0045826
C0596263,C0077414
C0079866,C0077414
C0480774,C0077414
C0021311,C0047204
C0024530,C0047204
C0030499,C0047204
C0033740,C0047204
C0014432,C0047204
C2263455,C0047204
C0021213,C0047536
C0014432,C0047895
C2263455,C0047895
C1150239,C0047895
C1150284,C0047895
C1566391,C0049887
C0016320,C0049887
C0021213,C0049887
C1450139,C0049887
C1150124,C0388991
C0014432,C0388991
C2263455,C0388991
C1566391,C0067510
C0016320,C0067510
C0021213,C0067510
C1450139,C0067510
C0599059,C0068065
C0678771,C0068065
C3163616,C0083986
C0030193,C0077580
C0003811,C0077580
C0007222,C0077580
C0007682,C0077580
C0683211,C0077580
C0152027,C0077580
C0006826,C0216949
C0234101,C0043599
C1152730,C0043599
C0027793,C0043599
C0006826,C0088835
C0007222,C0248424
C1158468,C0248424
C0596263,C0167369
C0006826,C0167369
C0678771,C0167369
C0014432,C0088478
C2263455,C0088478
C0877035,C0045340
C0877035,C0045340
C1149475,C0045340
C1149475,C0045340
C0877035,C0045340
C0020964,C0045796
C0301872,C0045796
C0006826,C0218593
C0014432,C0218593
C0007682,C0048408
C0030971,C0048408
C0027793,C0048408
C0004936,C0048408
C1152740,C0048408
C1152740,C0048408
C0025519,C0146177
C0020473,C0146177
C0598783,C0146177
C1566391,C0049150
C0016320,C0049150
C0021213,C0049150
C1450139,C0049150
C0004623,C0292300
C0007682,C0050001
C0014432,C0050001
C0598958,C0050001
C0678771,C0050001
C0018939,C0164985
C0032176,C0164985
C0030011,C1259156
C0040434,C1259156
C0008583,C0063991
C1566391,C0063991
C0021213,C0063991
C0021213,C0131076
C0024530,C0965649
C1517315,C0965649
C0007682,C0093669
C2917138,C0093669
C3179492,C0093669
C1816494,C0093669
C1816494,C0093669
C1816494,C0093669
C0027793,C0093669
C0007222,C0209923
C0042401,C0209923
C0004623,C2715898
C0026946,C2715898
C0006826,C2715898
C0006826,C2935309
C1566391,C0049951
C0016320,C0049951
