umls_cui,drug_Raw_Name,src_nm,umls_sem_typ1,umls_sem_typ2,umls_sem_typ3
C0016157,Fish Oils,NDFRT,Pharmacologic Substance,Biologically Active Substance,Lipid
C0016004,Fibrin Tissue Adhesive,MeSH_PA,Pharmacologic Substance,Biomedical or Dental Material,Amino Acid; Peptide; or Protein
C0021579,Organochlorine Insecticide,ChEBI,Hazardous or Poisonous Substance,Organic Chemical,
C0392143,Organochlorine Pesticide,ChEBI,Hazardous or Poisonous Substance,Organic Chemical,
C2974024,Hydrated Silica Gel-Based Toothpaste,MeSH_PA,Biomedical or Dental Material,,
C0376597,Dietary Sucrose,MeSH_PA,Carbohydrate,Food,
C0076425,Thiazolidine-4-Carboxylic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0044034,1;5-Difluoro-2;4-Dinitrobenzene,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0044401,1-Hexylcarbamoyl-5-Fluorouracil,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0045334,2;3;7;8-Tetrachlorodibenzofuran,MeSH_PA,Hazardous or Poisonous Substance,Organic Chemical,
C0045407,2;3-Naphthalenedicarboxaldehyde,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0045412,2;3-Piperidinedicarboxylic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0045845,2-Amino-4-Phosphonobutyric Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0664038,2-Chloro-5-Hydroxyphenylglycine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0045176,2'-Methyl-2'-Deoxyidenecytidine,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0046431,2-Nitro-5-Thiocyanobenzoic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0046929,3;4;5;3';4'-Pentachlorobiphenyl,MeSH_PA,Hazardous or Poisonous Substance,Organic Chemical,
C0048233,4-Des-Dimethylaminotetracycline,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0048983,5-(2-Iodovinyl)-2'-Deoxyuridine,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0049238,5-Hydroxymethyl-2'-Deoxyuridine,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0049640,6-Methoxy-2-Naphthylacetic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0377472,Acetyl Tert-Butyl Dimethylindan,MeSH_PA,Organic Chemical,,
C0081446,Acetylleucyl-Leucyl-Norleucinal,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0053698,Bis(3;5-Dibromosalicyl)Fumarate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0813211,Hydrochlorothiazide-Triamterene,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0072781,Pyrrolidine Dithiocarbamic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0073894,S-Nitroso-N-Acetylpenicillamine,MeSH_PA,Pharmacologic Substance,Biologically Active Substance,Organic Chemical
C0044232,1-(Carboxymethylthio)Tetradecane,MeSH_PA,Organic Chemical,,
C0044291,1-Anilino-8-Naphthalenesulfonate,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C1528245,1-O-Acetyl-4r;6s-Britannilactone,ChEBI,Pharmacologic Substance,Organic Chemical,
C0534468,2-(2-Benzofuranyl)-2-Imidazoline,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C2933174,2-(Methyldithio)Pyridine-N-Oxide,ChEBI,Organic Chemical,,
C0045561,2;5-Dimethoxy-4-Bromoamphetamine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0046893,3;3'-Dihexadecylindocarbocyanine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0046899,3;3'-Dioctadecylindocarbocyanine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0165153,3;7-Dimethyl-1-Propargylxanthine,MeSH_PA,Organic Chemical,,
C0048058,4-Aminopyrazolo(3;4-D)Pyrimidine,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0210574,4-Carboxy-3-Hydroxyphenylglycine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0048362,4-Hydroxymercuribenzenesulfonate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0048514,4-Methylumbelliferyl Glucuronide,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C3501088,5-Imino-1;2;4-Thiadiazole Vp1.14,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0000677,9;10-Dimethyl-1;2-Benzanthracene,MeSH_PA,Hazardous or Poisonous Substance,Organic Chemical,
C0051825,Androsta-1;4;6-Triene-3;17-Dione,MeSH_PA,Steroid,,
C0666879,Aspartyl-Glutamyl-Valyl-Aspartal,MeSH_PA,Amino Acid; Peptide; or Protein,,
C0058216,Dimethyl Dithiobispropionimidate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C2959379,Indium In 111 Capromab Pendetide,USAN_TC,Pharmacologic Substance,Indicator; Reagent; or Diagnostic Aid,Inorganic Chemical
C1871591,Methyl 3;5-Di-O-Caffeoyl Quinate,ChEBI,Organic Chemical,,
C0066293,Methyl(Acetoxymethyl)Nitrosamine,MeSH_PA,Hazardous or Poisonous Substance,Organic Chemical,
C0067309,N;N'-Diphenyl-4-Phenylenediamine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0068183,N-Nitroso-2;6-Dimethylmorpholine,MeSH_PA,Hazardous or Poisonous Substance,Organic Chemical,
C0076211,Tetra(4-N-Methylpyridyl)Porphine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0146692,Tricyclodecane-9-Yl-Xanthogenate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0043629,(Alpha-Carboxycyclopropyl)Glycine,MeSH_PA,Organic Chemical,,
C0044638,10;10'-Dimethyl-9;9'-Biacridinium,MeSH_PA,Organic Chemical,,
C0044270,1-Amino-1;3-Dicarboxycyclopentane,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0000215,2;4;5-Trichlorophenoxyacetic Acid,MeSH_PA,Hazardous or Poisonous Substance,Organic Chemical,
C0045829,2-Amino-3-Phosphonopropionic Acid,MeSH_PA,Pharmacologic Substance,Organophosphorus Compound,
C0045862,2-Amino-7-Phosphonoheptanoic Acid,MeSH_PA,Pharmacologic Substance,Neuroreactive Substance or Biogenic Amine,Organic Chemical
C0653231,3-(1-Deoxyribofuranosyl)Benzamide,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0995156,3;3'-Dihexyl-2;2'-Oxacarbocyanine,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0094556,3;4-Dihydroxybenzohydroxamic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0047591,3-Methylflavone-8-Carboxylic Acid,ChEBI,Pharmacologic Substance,Organic Chemical,
C0096557,4-(Acetylamino)Benzeneacetic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C1722937,4-Methyl-5-Pentylbenzene-1;3-Diol,ChEBI,Organic Chemical,,
C0050789,Adenosine-5'-(N-Ethylcarboxamide),MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C3254041,Arachidonoyl-2 Chloroethanolamine,MeSH_PA,Lipid,,
C0053370,Beta-(5-Hydroxy-2-Pyridyl)Alanine,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0054285,Butyl(3-Carboxypropyl)Nitrosamine,MeSH_PA,Hazardous or Poisonous Substance,Organic Chemical,
C0012847,Dimethylphenylpiperazinium Iodide,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0047822,Diphenylmethane-4;4'-Diisocyanate,ChEBI,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0058494,Dithiobis(Succinimidylpropionate),MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0067118,N(1);N(14)-Bis(Ethyl)Homospermine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0067483,N-(3;5-Dichlorophenyl)Succinimide,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0130753,N-Acetylleucyl-Leucyl-Methioninal,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0067834,N-Benzylglucamine Dithiocarbamate,MeSH_PA,Organic Chemical,,
C0067957,N-Ethyl-N-Hydroxyethylnitrosamine,MeSH_PA,Organic Chemical,,
C0247402,Pyrrolidine-2;4-Dicarboxylic Acid,MeSH_PA,Organic Chemical,,
C0088045,1;2-Diethyl-3-Hydroxypyridin-4-One,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0088321,1;3-Dipropyl-8-Cyclopentylxanthine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0381784,1-Aminoindan-1;5-Dicarboxylic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0909109,2-Methyl-6-(Phenylethynyl)Pyridine,ChEBI,Pharmacologic Substance,Organic Chemical,
C0046900,3;3'-Dipentyl-2;2'-Oxacarbocyanine,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0048815,5'-Guanylylmethylenebisphosphonate,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0909108,6-Methyl-2-(Phenylethynyl)Pyridine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0049648,6-Methyl-2-Ethyl-3-Hydroxypyridine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0050068,8-Cyclopentyl-1;3-Dimethylxanthine,MeSH_PA,Organic Chemical,,
C0050195,9-Amino-6-Chloro-2-Methoxyacridine,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0102508,Alpha-Cyano-4-Hydroxycinnamic Acid,ChEBI,Organic Chemical,,
C0254718,Diethylamine Dinitric Oxide Adduct,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0296679,Methanethiosulfonate Ethylammonium,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0068248,N-Octyl-Beta-D-Thioglucopyranoside,MeSH_PA,Pharmacologic Substance,Carbohydrate,
C0075451,Succinyl-Trialanine-4-Nitroanilide,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0076147,Tert-Butylbicyclophosphorothionate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0148143,Valyl-Leucyl-Lysine 4-Nitroanilide,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0044226,1-(9-Fluorenyl)Methyl Chloroformate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0043858,1;2-Epoxy-3-(P-Nitrophenoxy)Propane,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
